Var1,ASP14_i10_plus_midhigh
GLNALANaEx,1.993
GLNASNNaEx,1.993
GLNCYSNaEx,1.993
GLNS,2.2335
GLNSERNaEx,1.993
GLNt4,3.1335
GLNTHRNaEx,1.993
GLNtm,NaN
GLNtN1,NaN
GLU5Km,1.7685
GLUCYS,0.5705
GLUDC,NaN
GLUDxm,2.0365
GLUDym,2.0365
GluForTx,NaN
GLUNm,2.108
GLUPRT,1.5845
GLUt2m,1.2185
GLUTCOADHm,0.7495
GLUVESSEC,NaN
GLXtm,NaN
GLXtp,NaN
GLYAMDTRc,NaN
GLYATm,0.8415
GLYBt4_2_r,NaN
GLYBtm,NaN
GLYC3Ptm,NaN
GLYOp,NaN
GLYt2r,NaN
GLYt4,3.1335
GLYt7_211_r,NaN
GLYtm,NaN
GLYtp,NaN
GLYVESSEC,NaN
GMPS2,2.0805
GND,2.4485
GNDer,2.4485
GNMT,NaN
GTHO,1.2745
GTHOm,1.2745
GTHP,3.099
GTHPm,2.706
GTHRDt,NaN
GTHS,1.716
GULNDer,NaN
GULNter,NaN
H2CO3D,0.2865
H2O2syn,NaN
H2O2t,NaN
H2O2tm,NaN
H2O2tp,NaN
H2Ot,NaN
H2Oter,NaN
H2Otm,NaN
H2Otp,NaN
HACD1m,2.431
HACD9m,1.955
HCO3_CLt,0.219
HEX1,1.592
HGNTOR,NaN
HIBDm,1.457
HISD,NaN
HISDC,NaN
HISt4,3.1335
HISTAtu,NaN
HISTAVESSEC,0.9505
HIStiDF,NaN
HIStN1,NaN
HKYNH,NaN
HMGCOASim,NaN
HMGCOAtm,NaN
HMGLm,1.0155
HOMt4,1.5065
Htm,1.3125
Htr,NaN
Htx,NaN
ICDHxm,1.4695
ICDHy,2.2105
ICDHyrm,1.195
ILEt4,NaN
ILEt5m,NaN
ILETA,3.0305
ILETAm,1.41
ILEtec,NaN
IZPN,NaN
KCC2t,NaN
KYN3OX,NaN
KYNAKGAT,0.1265
KYNATESYN,NaN
LDH_L,3.213
LEUt4,2.073
LEUt5m,NaN
LEUTA,3.0305
LEUTAm,1.41
LEUtec,NaN
L_LACDcm,0.7365
L_LACt2r,2.449
L_LACt4r,NaN
LYSt4,NaN
LYStiDF,1.5065
LYStm,NaN
MACACI,NaN
MALSO3tm,NaN
MALSO4tm,NaN
MALtm,NaN
MALTSULtm,NaN
MCCCrm,0.5145
MDH,2.6925
MDHm,2.6925
ME1m,0.807
ME2,1.6875
ME2m,0.807
METAT,2.3465
METLEUex,0.9815
METS,1.9095
METt4,3.1335
METtec,NaN
MGCHrm,NaN
MGSA,NaN
MGSA2,NaN
MMEm,1.1265
MMMm,1.6505
MMSAD3m,0.33
MMTSADm,NaN
MTHFC,2.146
MTHFD,2.146
MTHGXLt,NaN
NADH2_u10m,0.466
NADHtpu,NaN
NADHtru,NaN
NADPHtru,NaN
NADPtru,NaN
NADtpu,NaN
NADtru,NaN
NAHCO3_HCLt,NaN
NAt,2.2615
NAt3_1,0.7355
NAt5,0.284
NCCt,NaN
NDPK1,1.8845
NDPK1m,1.8645
NDPK2,1.8845
NDPK3,1.8845
NDPK4,1.8845
NDPK5,1.8845
NDPK8,1.8845
NDPK9,1.8845
NH4t3r,NaN
NH4tp,NaN
NKCC2t,1.6085
NRPPHRt4_2_r,NaN
NRPPHRtu,NaN
NRPPHRVESSEC,0.9505
NTD7,1.417
O2St,NaN
O2Stm,NaN
O2Stx,NaN
O2t,NaN
O2ter,NaN
O2tm,NaN
O2tp,NaN
OBDHc,NaN
OCBTm,NaN
OIVD1m,1.151
OIVD2m,1.151
OIVD3m,1.151
ORNDC,1.606
ORNt3m,NaN
ORNt4m,NaN
ORNTArm,2.306
ORNtiDF,1.5065
OXAHCOtex,1.9015
P5CDm,NaN
P5CRm,1.088
P5CRxm,1.088
PCLAD,NaN
PCm,NaN
PCREATtmdiffir,NaN
PDHm,1.5755
PE_HStm,NaN
PEPCK,NaN
PEPCKm,0.4625
PFK,1.885
PGCD,2.391
PGI,2.5845
PGK,2.6785
PGL,0.7755
PGLer,0.4535
PGM,2.2035
PHEt4,3.1335
PHEtec,NaN
PIt7,NaN
PIter,0.2685
PPA,2.3615
PPAm,2.149
PPCOACm,NaN
PPCOAOm,1.9595
PPItr,NaN
PPM,1.5265
PRFGS,1.484
PRO1xm,NaN
PROD2m,NaN
PROt2r,NaN
PROt4,3.1335
PRPNCOAHYDm,2.431
PRPPS,1.9085
PSERT,2.3035
PSFLIPm,NaN
PSP_L,1.6905
PTRCOX1,NaN
PUNP1,0.97
PYK,3.0245
PYRt2m,2.449
PYRt2p,2.449
PYRt2r,2.449
RETNt,NaN
RPE,1.9455
RPI,0.2305
SACCD3m,1.852
SACCD4m,1.852
SARCStm,NaN
SARDHm,NaN
SERALANaEx,1.993
SERASNNaEx,1.993
SERCYSNaEx,1.993
SERGLNexR,2.017
SERGLNNaEx,1.993
SERGLYexR,2.017
SERHL,NaN
SERLYSNaex,NaN
SERt4,3.1335
SERTHRNaEx,1.993
SERtN1,NaN
SO4CLtex2,NaN
SO4HCOtex,1.9015
SO4OXAtex2,NaN
SO4t4_2,NaN
SPMDOX,NaN
SPMS,1.361
SPODM,2.69
SPODMe,NaN
SPODMm,1.5545
SPODMx,2.69
SPRMS,2.265
SUCCt2m,NaN
SUCCt4_2,NaN
SUCD1m,0.66
SUCOAS1m,0.477
SUCOASm,1.737
SULFOX,NaN
TALA,2.1015
THD1m,1.631
THRALANaEx,1.993
THRASNNaEx,1.993
THRCYSNaEx,1.993
THRD_L,NaN
THRGLNexR,2.017
THRGLNNaEx,1.993
THRGLYexR,2.017
THRSERNaEx,1.993
THRt4,3.1335
TKT1,1.9245
TKT2,1.9245
TPI,3.4095
TRPO2,2.9915
TRPt,0.949
TRPt4,NaN
TYRt,NaN
TYRt4,NaN
TYRTA,1.7385
UDPGLCAter,1.363
UMPK,2.1065
UMPK2,2.1065
UMPK3,2.1065
UMPK4,2.1065
UMPK5,2.1065
UMPK7,2.1065
UMPtr,NaN
URCN,NaN
UREAt,NaN
UREAt5,NaN
UREAtm,NaN
VALt4,NaN
VALt5m,NaN
VALTA,3.0305
VALTAm,1.41
VALtec,NaN
XYLUR,0.9425
EX_fald_e,NaN
EX_ptrc_e,NaN
EX_spmd_e,NaN
r0010,1.9505
r0021,1.2745
r0022,1.2745
r0028,0.8385
r0034,NaN
r0055,NaN
r0060,NaN
r0062,NaN
r0074,NaN
r0081,0.8815
r0085,1.955
r0086,1.955
r0119,1.5835
r0122,NaN
r0127,NaN
r0142,NaN
r0153,NaN
r0156,NaN
r0157,NaN
r0165,NaN
r0173,3.213
r0178,NaN
r0179,NaN
r0191,0.958
r0202,NaN
r0249,0.2305
r0280,NaN
r0295,NaN
r0301,2.0805
r0317,1.342
r0354,0.8655
r0355,0.8655
r0365,NaN
r0398,0.408
r0399,NaN
r0413,NaN
r0426,1.342
r0450,NaN
r0464,1.9995
r0483,NaN
r0509,0.66
r0525,1.852
