Var1,ASP14_i10_plus_low
2AMACHYD,NaN
2AMADPTm,NaN
2DR1PP,NaN
2HCO3_NAt,NaN
2OXOADOXm,1.6295
2OXOADPTm,NaN
34HPPOR,NaN
3AIBt,NaN
3AIBTm,NaN
3AIBtm,NaN
3HAO,NaN
3HBCOAHLm,NaN
3HKYNAKGAT,NaN
3MOBt2im,NaN
3MOPt2im,NaN
3SALAASPm,1.1655
3SALATAi,1.6925
3SALATAim,2
3SPYRSP,NaN
3SPYRSPm,NaN
4ABUTtm,NaN
4MOPt2im,NaN
5MTHFt,NaN
5MTHFt2,NaN
AACOAT,NaN
AACTOOR,NaN
AACTtm,NaN
AASAD3m,NaN
AATAi,NaN
ABTArm,NaN
ABUTD,1.3645
ABUTt2r,NaN
ABUTt4_2_r,NaN
ACACT10m,2.375
ACACT1r,1.6655
ACACt2,2.4025
ACACt2m,2.4025
ACETONEt2,2.4025
ACETONEt2m,2.4025
ACITL,1.9985
ACOAD10m,1.779
ACOAD9m,1.779
ACOAHi,NaN
ACONT,1.741
ACONTm,1.32
ACS,NaN
ACSm,NaN
ACt2m,NaN
ACt2r,NaN
ACTLMO,NaN
ACTNMO,NaN
ACYP,0.926
ADCim,NaN
ADEt,NaN
ADK1,2.316
ADK1m,2.316
ADK3,0.491
ADK3m,1.8485
ADMDC,2.1985
ADNK1,2.0505
ADPT,1.892
ADPtx,NaN
AGTim,NaN
AHC,2.197
AKGDm,1.6295
AKGMALtm,1.029
AKGt4_3,NaN
ALAASNNaEx,2.071
ALACYSNaEx,2.071
ALAGLNexR,2.11
ALAGLNNaEx,2.071
ALAGLYexR,2.11
ALASERNaEx,2.071
ALAt2r,NaN
ALAt4,3.2535
ALATA_L,0.4455
ALATHRNaEx,2.071
ALAtN1,NaN
AMCOXO,NaN
AMETt2m,NaN
AMPtp,NaN
AOBUTDsm,NaN
APAT2rm,NaN
ARGLYSex,0.832
ARGN,0.878
ARGNm,0.878
ARGt4,NaN
ARGtiDF,1.5115
ARGtm,NaN
ASNALANaEx,2.071
ASNCYSNaEx,2.071
ASNGLNNaEx,2.071
ASNS1,2.2015
ASNSERNaEx,2.071
ASNt4,3.2535
ASNTHRNaEx,2.071
ASNtN1,NaN
ASPGLUm,1.1655
ASPTA,1.6925
ASPTAm,2
ATP1ter,NaN
ATPS4m,1.2875
ATPtm,2.804
ATPtx,NaN
BALAtmr,NaN
BALAVECSEC,NaN
BETALDHxm,NaN
BHMT,NaN
CATm,1.815
CATp,1.815
CBPS,0.99
CBPSam,NaN
CHLtm,NaN
CHOLD2m,NaN
CHOLt4,NaN
CHOLtu,NaN
CHSTEROLt,NaN
CHSTEROLt1,NaN
CHSTEROLt2,NaN
CHSTEROLt3,NaN
CITL,NaN
CITRtm,NaN
CITt4_2,NaN
CITtam,1.259
CITtbm,1.259
CK,NaN
CKc,2.0315
CLFORtex,NaN
CLHCO3tex2,NaN
CLOHtex2,NaN
CLOXAtex2,NaN
CO2t,NaN
CO2ter,NaN
CO2tm,NaN
COAtm,NaN
CREATt4_2_r,NaN
CREATtmdiffir,NaN
CSm,2.316
CTPS1,1.227
CTPS2,1.227
CYOR_u10m,1.531
CYSALANaEx,2.071
CYSASNNaEx,2.071
CYSGLNNaEx,2.071
CYSGLUexR,2.11
CYSGLYexR,2.11
CYSO,NaN
CYSSERNaEx,2.071
CYSt4,3.2535
CYStec,NaN
CYSTGL,0.969
CYSTHRNaEx,2.071
CYSTS,0.8765
D_3AIBt,NaN
D3AIBTm,NaN
DATPtn,NaN
DCTPtn,NaN
DGTPtn,NaN
DHPR,0.295
ATPM,NaN
DMGDHm,NaN
DMGtm,NaN
DNDPt11m,NaN
DNDPt23m,NaN
DNDPt24m,NaN
DNDPt34m,NaN
DNDPt35m,NaN
DNDPt9m,NaN
DPGase,2.239
DPGM,2.239
DRBK,NaN
DTTPtn,NaN
ECOAH12m,2.387
ECOAH1m,2.387
ECOAH9m,2.387
ENO,3.6495
EX_3aib_e,NaN
EX_3aib_D_e,NaN
EX_4abut_e,NaN
EX_ac_e,NaN
EX_acac_e,NaN
EX_acetone_e,NaN
EX_ade_e,NaN
EX_akg_e,NaN
EX_ala_B_e,NaN
EX_ala_L_e,NaN
EX_arg_L_e,NaN
EX_asn_L_e,NaN
EX_asp_L_e,NaN
EX_chol_e,NaN
EX_chsterol_e,NaN
EX_cit_e,NaN
EX_co2_e,NaN
EX_creat_e,NaN
EX_for_e,NaN
EX_glc_e,NaN
EX_gln_L_e,NaN
EX_glu_L_e,NaN
EX_gly_e,NaN
EX_glyb_e,NaN
EX_gthrd_e,NaN
EX_h_e,NaN
EX_h2o_e,NaN
EX_h2o2_e,NaN
EX_hco3_e,NaN
EX_his_L_e,NaN
EX_hista_e,NaN
EX_ile_L_e,NaN
EX_lac_L_e,NaN
EX_leu_L_e,NaN
EX_lys_L_e,NaN
EX_met_L_e,NaN
