Var1,ASP14_i10_plus_midlow
GLNSERNaEx,1.977
GLNt4,3.159
GLNTHRNaEx,1.977
GLNtm,NaN
GLNtN1,NaN
GLU5Km,1.895
GLUCYS,0.52
GLUDC,NaN
GLUDxm,2.025
GLUDym,2.025
GluForTx,NaN
GLUNm,2.205
GLUPRT,1.568
GLUt2m,1.206
GLUTCOADHm,0.306
GLUVESSEC,NaN
GLXtm,NaN
GLXtp,NaN
GLYAMDTRc,NaN
GLYATm,0.901
GLYBt4_2_r,NaN
GLYBtm,NaN
GLYC3Ptm,NaN
GLYOp,NaN
GLYt2r,NaN
GLYt4,3.159
GLYt7_211_r,NaN
GLYtm,NaN
GLYtp,NaN
GLYVESSEC,NaN
GMPS2,2.123
GND,2.51
GNDer,2.51
GNMT,NaN
GTHO,1.362
GTHOm,1.362
GTHP,3.179
GTHPm,2.708
GTHRDt,NaN
GTHS,1.544
GULNDer,NaN
GULNter,NaN
H2CO3D,0.781
H2O2syn,NaN
H2O2t,NaN
H2O2tm,NaN
H2O2tp,NaN
H2Ot,NaN
H2Oter,NaN
H2Otm,NaN
H2Otp,NaN
HACD1m,2.379
HACD9m,1.744
HCO3_CLt,NaN
HEX1,1.839
HGNTOR,NaN
HIBDm,1.323
HISD,NaN
HISDC,NaN
HISt4,3.159
HISTAtu,NaN
HISTAVESSEC,0.851
HIStiDF,NaN
HIStN1,NaN
HKYNH,NaN
HMGCOASim,NaN
HMGCOAtm,NaN
HMGLm,0.851
HOMt4,1.439
Htm,1.081
Htr,NaN
Htx,NaN
ICDHxm,1.524
ICDHy,2.272
ICDHyrm,1.314
ILEt4,NaN
ILEt5m,NaN
ILETA,2.991
ILETAm,1.222
ILEtec,NaN
IZPN,NaN
KCC2t,NaN
KYN3OX,NaN
KYNAKGAT,NaN
KYNATESYN,NaN
LDH_L,3.178
LEUt4,2.016
LEUt5m,NaN
LEUTA,2.991
LEUTAm,1.222
LEUtec,NaN
L_LACDcm,0.805
L_LACt2r,2.421
L_LACt4r,NaN
