"gene_number" "symbol" "pdx184_0" "pdx184_1" "pdx184_2" "pdx184_3" "pdx184_4" "pdx184_5"
"126792.1" "B3GALT6" "0.111653115199919" "0.118290551843716" "0.101727843668354" "0.124502281454524" "0.0207624436814579" "0.0697681840558564"
"65220.1" "NADK" "0.125159052363762" "0.172061540270724" "0.150204861118852" "0.245019250968313" "0.0477596768026518" "0.0722090637952457"
"55229.1" "PANK4" "0.0766697900935723" "0.0918099482096455" "0.157127762744883" "0.0788766521802913" "0.0137136585250473" "0.111325829850251"
"11332.1" "ACOT7" "0.343101734278622" "0.404059080387488" "0.719431308639126" "0.408180301732251" "0.181717511127622" "0.541925666863131"
"79707.1" "NOL9" "0.139655411101312" "0.181334377055242" "0.196311327451241" "0.217951262142247" "0.168526875062705" "0.133213669840163"
"2023.1" "ENO1" "1.61821853775164" "1.66678843999133" "1.74598181142029" "1.65323519753893" "1.93993975199304" "1.74555874027004"
"6518.1" "SLC2A5" "0.000383027788717958" "0.00111132006304085" "0" "0.00663827673295619" "0" "0.011835558671385"
"9563.1" "H6PD" "0.117870080519018" "0.0954707270799075" "0.169826046115275" "0.0823605961095259" "0.0892470079410762" "0.129695864322109"
"5293.1" "PIK3CD" "0.0118062433158409" "0.00223401257862134" "0" "0" "0" "0"
"64802.1" "NMNAT1" "0.0838225195521487" "0.129469828786216" "0.0240861898360318" "0.0483619305634154" "0.0700517208850548" "0.11821838950799"
"5226.1" "PGD" "0.576372236968206" "0.603249800097362" "0.685747332931631" "0.608209361865611" "0.484384690955038" "0.657082889265821"
"6723.1" "SRM" "0.244597677215526" "0.303647643470059" "0.286954772033147" "0.271823705834457" "0.172315834714663" "0.342907391677693"
"4524.1" "MTHFR" "0.0999233668037418" "0.0798217737577624" "0.0901423164047337" "0.0780489475157343" "0.0129835781845506" "0.105526644292917"
"79814.1" "AGMAT" "0.0161223429495768" "0.0294078096866537" "0.0519823380432415" "0.00412883453812156" "0.0185639076056136" "0.0156246222347245"
"6390.1" "SDHB" "0.709467806972511" "0.81451008145581" "0.794835859689914" "0.784956642858365" "0.602807323861068" "0.806083512994744"
"8659.1" "ALDH4A1" "0.172736451387729" "0.190697573016268" "0.238039195640592" "0.183738297179478" "0.10794249767813" "0.229042467826068"
"8574.1" "AKR7A2" "0.384676461872259" "0.460343412402095" "0.523891209662676" "0.371909703343504" "0.364999601754317" "0.509575312078322"
"2582.2" "GALE" "0.221735865806911" "0.265199668432176" "0.281665410834477" "0.259559865106257" "0.166087054559241" "0.294696134785061"
"3155.1" "HMGCL" "0.387318689321351" "0.35633984794343" "0.283929945200808" "0.304882809105747" "0.536484740156163" "0.356090652143134"
"2517.1" "FUCA1" "0.12998239311358" "0.137147126560721" "0.117762409337236" "0.0510925365960108" "0.0342800568932972" "0.0796717494865296"
"5051.1" "PAFAH2" "0.0694223727654596" "0.0675633994793998" "0.0247384304344012" "0.0395534088194106" "0.107364562563336" "0.0907040481276792"
"2134.1" "EXTL1" "0.00410544326584948" "0" "0.00393787890918778" "0" "0" "0.0306960727067074"
"55650.1" "PIGV" "0.167430637878984" "0.205167183033035" "0.188574769125555" "0.0940823347901961" "0.17263835503828" "0.231687612882855"
"6548.1" "SLC9A1" "0.0523345269568546" "0.0354202705885647" "0.11532552842928" "0.124429871151027" "0.0402309364129621" "0.0771670049752271"
"51102.1" "MECR" "0.24911386066823" "0.318857996120324" "0.331287296018253" "0.190946420147751" "0.212769959784796" "0.367464189982142"
"2170.1" "FABP3" "0.0110497896542665" "0.00728513909517197" "0.0100193373629498" "0" "0.0700179005150715" "0.057504592567247"
"204.1" "AK2" "0.683349708968825" "0.669548464788831" "0.777336324934533" "0.652255977442508" "0.73563413510576" "0.786148284279957"
"113451.1" "AZIN2" "0.0151391098620771" "0.0372226643383591" "0.0238962616539721" "0.0265851723545477" "0.0317411146160945" "0.0132431831522861"
"3633.1" "INPP5B" "0.0195221971475369" "0.060625851668365" "0.0413909205989023" "0.0513121980820221" "0.0327765944952825" "0.0688987113209029"
"4725.1" "NDUFS5" "1.42173280213385" "1.50758635059271" "1.45261529749607" "1.45356225995327" "1.31035996957427" "1.45282554131054"
"5538.1" "PPT1" "0.320389330037559" "0.363778694593544" "0.411254722491376" "0.343774294865157" "0.0936386560033494" "0.370431511630759"
"1503.1" "CTPS1" "0.168028969810164" "0.152933888836303" "0.310208927286929" "0.178724690838821" "0.0238133023913423" "0.325219931235438"
"79717.1" "PPCS" "0.442543991758243" "0.567446594874988" "0.45959630822411" "0.495220296315069" "0.510619188433861" "0.552364566339218"
"6513.1" "SLC2A1" "0.0190444858143149" "0.0157965558409468" "0.0455447232391015" "0.0116627306625262" "0.28192988072294" "0.0384475401137067"
"64834.1" "ELOVL1" "0.353986075312025" "0.403049430375628" "0.361490383477154" "0.479722788110649" "0.162913429708574" "0.407081059869084"
"6487.11" "ST3GAL3" "0.205067727043843" "0.235535359517406" "0.208835881904542" "0.112003602941142" "0.152713158510229" "0.251747808891914"
"533.1" "ATP6V0B" "0.872946409918039" "0.965249982600443" "1.01326173390553" "0.935926987523005" "0.511745465462967" "0.991981164231395"
"8704.1" "B4GALT2" "0.0969267503781329" "0.116596905165269" "0.1491810712057" "0.112421367926531" "0.0141122851722071" "0.13889539175103"
"6536.1" "SLC6A9" "0.0600679998902169" "0.0540360534253025" "0.0693005942876418" "0.115963352671558" "0.032478166801263" "0.0864130234617051"
"7389.1" "UROD" "0.517804038332884" "0.551945896397961" "0.476940034338361" "0.404629502268226" "0.504838677024945" "0.539922102114757"
