"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
4.23080159044189e-36 0.288715795626868 1 0.999 7.79398268991205e-32 "1" "H1F0"
4.42786724276242e-36 0.417818222731422 0.839 0.655 8.15701703461693e-32 "1" "COL6A1"
2.47860442898507e-35 0.560596929467211 0.827 0.62 4.56608507907629e-31 "1" "DCN"
5.03368168472646e-34 0.34218711497359 0.988 0.915 9.27304839960308e-30 "1" "LINC00681"
2.07179202890134e-33 0.450978194143093 1 0.993 3.81665527564204e-29 "1" "SAT1"
3.45253104711671e-32 0.468121590916932 1 0.98 6.36025269499841e-28 "1" "HIST1H1C"
5.7022163326435e-32 0.296771503746498 1 1 1.05046229279958e-27 "1" "EPB41L4A-AS1"
1.70382299153701e-31 0.27872004029601 0.738 0.445 3.13878271500949e-27 "1" "PXK"
3.02500335698801e-31 0.339653892237871 0.935 0.85 5.57266118424331e-27 "1" "MAP2K5"
7.58834677616983e-31 0.43491705900174 0.891 0.743 1.39792524310601e-26 "1" "DUSP6"
1.65221739097182e-30 0.314373382336018 0.859 0.647 3.0437148776483e-26 "1" "RARRES3"
1.74276971575364e-30 0.318309462742317 0.98 0.932 3.21053037036136e-26 "1" "PGAP1"
1.74551795872087e-30 0.381871644631864 0.887 0.747 3.21559318355559e-26 "1" "FSTL1"
2.53010952719854e-30 0.370320541008849 0.927 0.889 4.66096777100514e-26 "1" "TUBA4A"
2.86203211968886e-30 0.336377637866945 1 0.984 5.27243557089083e-26 "1" "CHMP1B"
1.39537392082045e-29 0.288446949122229 1 0.986 2.57055783693544e-25 "1" "EGR1"
1.5539543256371e-29 0.435290218030243 0.976 0.987 2.86269465868867e-25 "1" "GPI"
2.9929150330214e-29 0.372451943385872 0.935 0.875 5.51354807383203e-25 "1" "AC114730.3"
4.90163433354447e-29 0.338689668851573 0.988 0.941 9.02979076925563e-25 "1" "NXPH4"
5.53929237540747e-29 0.33772500076337 1 0.999 1.02044844139756e-24 "1" "ZFP36"
5.71900305469305e-29 0.295994036315656 0.81 0.581 1.05355474273555e-24 "1" "TMEM59L"
9.91983532971413e-29 0.46853608941676 0.536 0.265 1.82743206443994e-24 "1" "PNCK"
5.78417379655657e-28 0.363252141853196 0.645 0.36 1.06556049680165e-23 "1" "HRH2"
8.64025321945909e-28 0.464664131411788 0.794 0.58 1.59170744808875e-23 "1" "LINC01436"
1.25612657843764e-27 0.285935104249447 0.956 0.848 2.31403638279782e-23 "1" "HOXD11"
1.63809616798736e-27 0.329975487891542 0.746 0.503 3.01770076066632e-23 "1" "ATP2B1"
5.88752188779294e-27 0.353108460697429 0.774 0.57 1.08459928216921e-22 "1" "MIR22HG"
1.2167436524848e-26 0.329408847578379 0.851 0.637 2.24148515660749e-22 "1" "LIPI"
2.42996356516092e-26 0.294503729839382 1 0.978 4.47647887973944e-22 "1" "ZNF331"
