"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
7.86191520442453e-96 0.404738137311354 1 1 7.82968135208639e-92 "0" "CLEC11A"
2.0310255844366e-95 0.44510508430224 1 1 2.02269837954041e-91 "0" "CFL1"
1.59740581898986e-89 0.448567813930965 1 0.999 1.590856455132e-85 "0" "TENT5A"
7.76511037020342e-89 0.481148046945029 1 1 7.73327341768559e-85 "0" "TUBA1A"
1.32331872219918e-88 0.624460163874004 1 1 1.31789311543816e-84 "0" "CRIP1"
1.47449302402356e-88 0.420302780298644 1 1 1.46844760262506e-84 "0" "ACTB"
1.96562435605962e-88 0.660237049528455 1 1 1.95756529619977e-84 "0" "TIMP1"
7.18963084016504e-87 0.39559737731067 1 1 7.16015335372036e-83 "0" "CCT5"
1.65012104625292e-86 0.412740699856815 1 1 1.64335554996328e-82 "0" "BSG"
1.68932425681549e-86 0.433978152878179 1 1 1.68239802736255e-82 "0" "UGT3A2"
4.04928771586546e-86 0.401855873148452 0.996 0.971 4.03268563623041e-82 "0" "NABP1"
9.15667929939281e-85 0.547245175684841 1 1 9.1191369142653e-81 "0" "CALCA"
2.98718402185453e-83 0.634736245428357 1 1 2.97493656736493e-79 "0" "MT-CYB"
3.45157532336259e-82 0.394580040518772 1 0.999 3.4374238645368e-78 "0" "PGLYRP2"
1.90723258610191e-81 0.400419636309369 1 1 1.89941293249889e-77 "0" "TRMT9B"
3.01272073671203e-80 0.62521935863354 1 1 3.00036858169151e-76 "0" "MT-CO2"
3.24604975071384e-71 0.449730024818865 1 1 3.23274094673591e-67 "0" "HSPB1"
5.88442262265039e-71 0.553841088049821 1 1 5.86029648989752e-67 "0" "IGFBP2"
1.09339350370244e-64 0.481690188156455 1 1 1.08891059033726e-60 "0" "HSPH1"
1.61186231493551e-63 0.403514561281537 1 1 1.60525367944427e-59 "0" "MYC"
5.27991944834271e-61 0.496262783642429 1 1 5.25827177860451e-57 "0" "MT-CO3"
4.6654313073948e-56 0.434412431776468 1 1 4.64630303903449e-52 "0" "ALDH7A1"
1.56093118566799e-42 0.39260996987218 1 1 1.55453136780676e-38 "0" "MT-CO1"
1.51519429490914e-41 0.489974299263995 1 0.993 1.50898199830001e-37 "0" "NMB"
5.87750569654539e-39 0.418143418472678 1 1 5.85340792318955e-35 "0" "MT-ATP6"
2.34476474158496e-140 1.01953371948682 1 1 2.33515120614446e-136 "1" "CLEC2B"
5.61585443905465e-140 0.551975425100174 1 1 5.59282943585452e-136 "1" "CRBN"
3.57337555424816e-137 0.581261002218258 1 0.993 3.55872471447574e-133 "1" "CAMK1G"
4.57893190185782e-133 0.814619955134635 1 1 4.56015828106021e-129 "1" "APOC1"
2.31313492255005e-127 0.373381911359934 1 0.984 2.3036510693676e-123 "1" "AC135893.1"
