"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
2.69101862487398e-16 0.261770382305301 0.901 0.868 4.66084425828174e-12 "0" "TNFAIP3"
5.70448617552905e-16 0.299614442775319 0.668 0.528 9.88017005601632e-12 "0" "GPR42"
5.068182579804e-13 0.276003276245862 0.801 0.683 8.77809222822053e-09 "0" "CH25H"
1.82784897566177e-40 0.632318796335577 0.991 0.932 3.16583442584618e-36 "1" "HSPA1A"
2.909025721259e-26 0.447363543467173 0.859 0.609 5.03843254922059e-22 "1" "HSPA1B"
2.23221170490187e-24 0.257265972048201 0.934 0.784 3.86619067289005e-20 "1" "IL27RA"
1.77358972266043e-16 0.278435869198267 1 0.988 3.07185739964787e-12 "1" "ID3"
1.47131579067444e-07 0.275062993882389 0.948 0.905 0.00254831894944813 "1" "IFI27"
1.76294137402315e-127 0.834716717366383 1 0.155 3.0534144598081e-123 "2" "PKMYT1"
9.844489682678e-117 0.836099011689373 0.946 0.142 1.70506561303983e-112 "2" "HIST1H1B"
1.28401627660073e-115 0.807638057554718 0.992 0.175 2.22391619107247e-111 "2" "ASF1B"
7.17871229596187e-109 1.10014140225071 1 0.252 1.2433529696606e-104 "2" "CDCA5"
4.67036719940401e-106 0.750879293142874 0.961 0.177 8.08907598936774e-102 "2" "CKAP2L"
5.78057231707957e-104 0.827860196019507 1 0.224 1.00119512531818e-99 "2" "KIF15"
3.23852908155176e-102 0.73719840970399 0.984 0.199 5.60913236924765e-98 "2" "MCM10"
8.83154442949894e-102 1.0689387292252 1 0.287 1.52962349518922e-97 "2" "ESCO2"
1.90885063331562e-100 0.748962172821091 0.977 0.186 3.30612929690266e-96 "2" "NCAPH"
9.52532896512378e-98 0.953351476917227 0.992 0.283 1.64978697675944e-93 "2" "SPC25"
2.3211254649222e-96 0.729711419610876 1 0.255 4.02018930524525e-92 "2" "TCF19"
5.27774437098747e-94 0.780775952308358 0.992 0.237 9.14105325055029e-90 "2" "CDCA2"
2.71153231644543e-91 0.744280323468069 1 0.28 4.69637397208349e-87 "2" "MELK"
3.16903763966847e-91 0.921272320018386 0.992 0.285 5.48877319190578e-87 "2" "NCAPG"
8.27079491957243e-90 0.951708716735068 0.984 0.28 1.43250168006994e-85 "2" "KIFC1"
3.61893564483391e-89 0.896857966025364 1 0.286 6.26799653685234e-85 "2" "CCNA2"
4.31407762034325e-88 1.23924247486743 1 0.341 7.47198243843451e-84 "2" "AURKB"
1.65116923579021e-87 0.916150218090495 0.984 0.294 2.85982511638864e-83 "2" "NDC80"
2.32672358198071e-86 0.939933792753494 0.984 0.349 4.02988524399059e-82 "2" "HIST2H2AC"
3.36660785295992e-85 0.921975580754205 1 0.291 5.83096480132658e-81 "2" "TACC3"
5.28800932901271e-85 0.724479766315165 0.93 0.208 9.15883215785001e-81 "2" "MXD3"
7.03793352106469e-85 0.758521217256466 1 0.311 1.2189700858484e-80 "2" "KIF11"
2.56492860364278e-84 0.737635120078224 1 0.364 4.44245634150929e-80 "2" "SKA3"
3.13287607285736e-84 0.735972792945691 0.93 0.214 5.42614135818896e-80 "2" "HJURP"
1.37445565537659e-82 0.829512208339111 1 0.428 2.38055719511225e-78 "2" "SYNE2"
4.55076446568428e-81 1.14880671546118 1 0.537 7.88192405456517e-77 "2" "RAD51AP1"
6.29743118304938e-81 1.55258639469075 1 0.595 1.09071508090415e-76 "2" "RRM2"
9.94055292766155e-81 0.866937889853543 0.992 0.375 1.72170376707098e-76 "2" "BRCA2"
6.54571308004502e-79 0.860074729332975 1 0.432 1.1337175054638e-74 "2" "MND1"
9.06800184567473e-79 1.22337591407118 1 0.637 1.57057791967086e-74 "2" "ZWINT"
1.51316365795383e-78 1.00884291997002 0.992 0.316 2.62079945557603e-74 "2" "GTSE1"
2.92570832920633e-77 0.838526709417954 1 0.526 5.06732682618536e-73 "2" "CDCA4"
3.71106346591623e-77 1.12162514048709 1 0.41 6.42756192296691e-73 "2" "CDCA3"
4.33698215990949e-77 1.11178685988662 1 0.743 7.51165310096324e-73 "2" "TMEM106C"
4.55180143407809e-77 0.824304982604176 0.984 0.293 7.88372008382326e-73 "2" "KIF2C"
7.3475290121778e-77 1.09520632493765 1 0.996 1.27259202490919e-72 "2" "PCLAF"
7.82200178098689e-77 1.41191024062391 1 1 1.35477070846693e-72 "2" "HIST1H4C"
1.80827772552874e-76 0.900401415716626 0.992 0.507 3.13193702061578e-72 "2" "FBXO5"
2.60591584890027e-76 1.17648512732583 1 0.686 4.51344625029527e-72 "2" "TYMS"
4.23000553345366e-76 1.02664905235365 1 0.912 7.32636958394173e-72 "2" "ATAD2"
6.48888911910961e-76 0.738338139345169 1 0.996 1.12387559542978e-71 "2" "DEK"
1.80510245689099e-75 1.04571060430269 1 0.608 3.1264374553352e-71 "2" "CENPM"
1.87145277919498e-75 1.29575683043575 1 0.702 3.24135621356571e-71 "2" "TK1"
