<<<<<<< HEAD
version https://git-lfs.github.com/spec/v1
oid sha256:4e054749b0ed26cc118bbdf8488227aec2ee20555f4ca552dae6baebba673f74
size 5765
=======
"model" "cl_resolution" "ic_score_by" "cl_aggregation_by" "Min." "1st Qu." "Median" "Mean" "3rd Qu." "Max."
"recon3_redHuman" "cl_resolution_0.25" "ic_score_by_mean" "cl_aggregation_by_mean" "-0.271010580728865" "0.137463246930779" 0.267365130265634 0.246579955167456 "0.364265921547817" 0.586621365749389
"recon3_redHuman" "cl_resolution_0.25" "ic_score_by_mean" "cl_aggregation_by_median" "-0.494586546548194" "0.0271405197840165" 0.211185963012198 0.178898379981485 "0.36605261198318" 0.596928267524583
"recon3_redHuman" "cl_resolution_0.25" "ic_score_by_median" "cl_aggregation_by_mean" "-0.440955810686647" "0.141662937379333" 0.300773894141039 0.248884657299688 "0.417100526908126" 0.546446684195922
"recon3_redHuman" "cl_resolution_0.25" "ic_score_by_median" "cl_aggregation_by_median" "-0.450701786192315" "0.100474710330004" 0.24508415213648 0.214560590500496 "0.333165354416861" 0.814483382501232
"recon3_redHuman" "cl_resolution_0.35" "ic_score_by_mean" "cl_aggregation_by_mean" "-0.391430457895316" "0.0956543011457724" 0.249270636088993 0.202440413206344 "0.340452897687635" 0.87067666714302
"recon3_redHuman" "cl_resolution_0.35" "ic_score_by_mean" "cl_aggregation_by_median" "-0.472501894889709" "0.00778991914037537" 0.16364335099401 0.145767640474697 "0.307182737848892" 0.537867209056737
"recon3_redHuman" "cl_resolution_0.35" "ic_score_by_median" "cl_aggregation_by_mean" "-0.700577491914034" "0.029742589345447" 0.197714264085491 0.152431725174268 "0.283492717719859" 0.875522247786551
"recon3_redHuman" "cl_resolution_0.35" "ic_score_by_median" "cl_aggregation_by_median" "-0.496943959560447" "-0.03918227668687" 0.161486972226724 0.113609199359999 "0.30619079064473" 0.449162432925756
"recon3_redHuman" "cl_resolution_0.45" "ic_score_by_mean" "cl_aggregation_by_mean" "-0.481764932539259" "0.033254371725742" 0.168576747625087 0.148293907261235 "0.286058167762375" 0.62841319624113
"recon3_redHuman" "cl_resolution_0.45" "ic_score_by_mean" "cl_aggregation_by_median" "-0.506338137021698" "-0.00609150066621448" 0.17481141391835 0.123838507084014 "0.295956443844471" 0.537971731934233
"recon3_redHuman" "cl_resolution_0.45" "ic_score_by_median" "cl_aggregation_by_mean" "-0.650461200979382" "0.0257704457243263" 0.173885558482547 0.146631205338853 "0.285251936195845" 0.484597437179797
"recon3_redHuman" "cl_resolution_0.45" "ic_score_by_median" "cl_aggregation_by_median" "-0.371460039854251" "0.00344070209250917" 0.188256742532548 0.133123360152703 "0.285381005970436" 0.616862253582052
"recon3_redHuman" "cl_resolution_0.55" "ic_score_by_mean" "cl_aggregation_by_mean" "-0.57084310930591" "0.0447961339474538" 0.163140921344455 0.144406051459714 "0.282923346310097" 0.862901155913447
"recon3_redHuman" "cl_resolution_0.55" "ic_score_by_mean" "cl_aggregation_by_median" "-0.408988916238292" "-0.00514171011620119" 0.115398837623946 0.0970427494614816 "0.235296005479055" 0.632269594703946
"recon3_redHuman" "cl_resolution_0.55" "ic_score_by_median" "cl_aggregation_by_mean" "-0.367377339163399" "0.0713174221185976" 0.20409494689113 0.172522385634044 "0.283650016567879" 0.604011012666916
"recon3_redHuman" "cl_resolution_0.55" "ic_score_by_median" "cl_aggregation_by_median" "-0.400066836807014" "0.0611752864164244" 0.169947327294894 0.149595906870952 "0.269989359729351" 0.63741916265528
"recon3_redHuman" "cl_resolution_0.65" "ic_score_by_mean" "cl_aggregation_by_mean" "-0.423790908595698" "-0.0292274552765512" 0.141934885822758 0.121271107059513 "0.239032850362039" 0.77386627822332
"recon3_redHuman" "cl_resolution_0.65" "ic_score_by_mean" "cl_aggregation_by_median" "-0.562519751804528" "-0.0915996823515301" 0.0542510928801404 0.0747157397036678 "0.231156297047695" 0.745483657294995
"recon3_redHuman" "cl_resolution_0.65" "ic_score_by_median" "cl_aggregation_by_mean" "-0.33966876076067" "0.0556907983888367" 0.193897167681765 0.162313647764969 "0.272771691280822" 0.699185963535709
"recon3_redHuman" "cl_resolution_0.65" "ic_score_by_median" "cl_aggregation_by_median" "-0.401562235827711" "-0.0531785994585699" 0.0650120822665962 0.0693296726155979 "0.180543181022575" 0.508604094418596
"recon3_redHuman" "cl_resolution_0.75" "ic_score_by_mean" "cl_aggregation_by_mean" "-0.443740787207301" "0.021386028233426" 0.140655161643042 0.132820276101244 "0.240579496448101" 0.715831409865643
"recon3_redHuman" "cl_resolution_0.75" "ic_score_by_mean" "cl_aggregation_by_median" "-0.577445205928119" "-0.127482611728607" 0.0414533645737733 0.0459163504653791 "0.23239968572829" 0.464284904815374
"recon3_redHuman" "cl_resolution_0.75" "ic_score_by_median" "cl_aggregation_by_mean" "-0.400493551482871" "0.0119729012563932" 0.213102673663179 0.147856813632345 "0.29400164187515" 0.549157985112804
"recon3_redHuman" "cl_resolution_0.75" "ic_score_by_median" "cl_aggregation_by_median" "-0.384415553230928" "-0.0695006439863535" 0.127702245781516 0.0988071499927355 "0.206463885693342" 0.695085555042424
"recon3_redHuman" "cl_resolution_0.8" "ic_score_by_mean" "cl_aggregation_by_mean" "-0.522164010777851" "0.000667578549912203" 0.136114674498572 0.124019281109743 "0.253559179526076" 0.775356359215843
"recon3_redHuman" "cl_resolution_0.8" "ic_score_by_mean" "cl_aggregation_by_median" "-0.589860063705144" "0.00138055867491786" 0.133818289584783 0.103308748546249 "0.250877535841056" 0.538732820773641
