Var1,ASP14_i10_plus_midlow
4HGLSDm,NaN
4HOXPACDOX_NADP,NaN
4MOPt2im,NaN
4MPTNLte,NaN
4MPTNLtm,NaN
4MTOLBUTAMIDEte,NaN
4NPHSFte,NaN
4NPHSULT,NaN
4NPHte,NaN
4PYRDX,NaN
5ADTSTSTERONEGLCte,0.725
5ADTSTSTERONEGLCtr,NaN
5ADTSTSTERONESte,NaN
5ADTSTSTERONESULT,NaN
5ADTSTSTERONEte,NaN
5ADTSTSTERONEtr,NaN
5AOPtm,NaN
5DHFtl,NaN
5FTHFt2,NaN
5HLTDL,NaN
5HOMEPRAZOLEte,NaN
5HOXINDACTO2OX,NaN
5HOXINOXDA,NaN
5HTRPVESSEC,0.851
5MTHFt,NaN
5MTHFt2,NaN
5THFtl,NaN
5THFtm,NaN
6DHFtl,NaN
6DHFtm,NaN
6HTSTSTERONEte,NaN
6HTSTSTERONEtr,NaN
6THFtl,NaN
6THFtm,NaN
7DHCHSTEROLtr,NaN
7DHFtl,NaN
7DHFtm,NaN
7THFtl,NaN
7THFtm,NaN
A_MANASEly,NaN
A4GALTc,NaN
A4GALTg,NaN
A4GNT1g,NaN
A4GNT2g,NaN
AACTOOR,NaN
AACTtm,NaN
AASAD3m,NaN
AATAi,NaN
ABO1g,NaN
ABO2g,NaN
ABO3g,NaN
ABO4g,NaN
ABO5g,NaN
ABO6g,NaN
ABO7g,NaN
ABO8g,NaN
ABO9g,NaN
ABTArm,NaN
ABTD,NaN
ABTti,NaN
ABUTt2rL,NaN
ABUTt4_2_r,NaN
ACACT10m,2.379
ACACT1rm,2.379
ACACT1x,1.964
ACACt2m,2.421
ACACT4p,NaN
ACACT5p,NaN
ACACT6p,NaN
ACACT7p,NaN
ACACT8p,NaN
ACACT9p,NaN
ACACtx,NaN
ACALDtm,NaN
ACALDtr,NaN
ACALDtx,NaN
ACCOACm,NaN
ACCOAgt,1.377
ACCOALm,NaN
ACCOAtn,NaN
ACCOAtr,1.377
ACETONEt2,2.421
ACETONEt2m,2.421
ACGAGBSIDEtg,NaN
ACGAGBSIDEtl,NaN
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,NaN
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,NaN
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,NaN
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,NaN
ACGALK,NaN
ACGALK2,NaN
ACGALtlg,NaN
ACGALtly,NaN
ACGAM6PSi,1.613
ACGAMK,1.963
ACGAMPM,2.404
ACGAMtly,NaN
ACGBGBSIDEtg,NaN
ACGBGBSIDEtl,NaN
ACGPID,0.379
ACGSm,NaN
ACHEe,NaN
ACHtn,NaN
ACHVESSEC,NaN
ACITL,2.097
ACN13ACNGALGBSIDEte,NaN
ACN13ACNGALGBSIDEtg,NaN
ACN23ACNGALGBSIDEte,NaN
ACN23ACNGALGBSIDEtg,NaN
ACNACNGAL14ACGLCGALGLUSIDEte,NaN
ACNACNGAL14ACGLCGALGLUSIDEtg,NaN
ACNACNGALGBSIDEte,NaN
ACNACNGALGBSIDEtg,NaN
ACNAM9PL,1.128
ACNAM9PL2,1.128
ACNAMlt,1.454
ACNAMPH,0.609
ACNAMtn,NaN
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,NaN
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg,NaN
ACNMLr,NaN
ACOAD10m,1.83
ACOAD1fm,1.83
ACOAD8m,1.564
ACOAD9m,1.83
ACOAHi,NaN
ACOAO7p,1.644
ACODA,NaN
ACONTm,1.463
ACOX22x,NaN
ACOX2x,NaN
ACP1_FMN,2.541
ACRNtm,NaN
ACS2,0.273
ACSm,NaN
ACSRTNMT,NaN
ACt2m,NaN
ACt2r,NaN
ACtg,NaN
ACTLMO,NaN
ACTNMO,NaN
ADA,1.202
ADAe,1.202
ADCim,NaN
ADEt,NaN
ADK1m,2.236
ADK3,0.423
ADK3m,1.899
ADKd,0.423
ADMDC,2.225
ADNCYC,NaN
ADNK1m,NaN
ADNt,0.291
ADNt4,NaN
ADNtl,NaN
ADNtm,0.291
ADPMAN,2.065
ADPRIBt,NaN
ADPtx,NaN
ADRNCOAtx,NaN
ADRNCPT1,0.626
ADRNCPT2,NaN
ADRNCRNt,NaN
ADRNLPVESSEC,0.851
ADRNt,NaN
ADSK,2.571
ADSL1,2.258
ADSL2,2.258
AFLATOXINte,NaN
AG13T16g,0.926
AG13T17g,0.926
AG13T18g,0.926
AG13T1g,0.926
AG13T2g,0.926
AG13T3g,0.926
AGMTm,NaN
AGPAT1,1.729
AGTim,NaN
AGTix,NaN
AHANDROSTANGLCte,0.725
AHANDROSTANGLCtr,NaN
AHCYStr,NaN
AHEXASE2ly,1.517
AHEXASEly,1.517
AIRCr,2.302
AKGDm,0.313
AKGMALtm,1.446
AKGt4_3,NaN
AKGtp,NaN
AKR1C1,NaN
AKR1C41,NaN
AKR1C42,NaN
AKR1D,NaN
AKR1D2,NaN
ALAASNNaEx,1.977
ALACYSNaEx,1.977
ALADGLNexR,1.981
ALADGLYexR,1.981
ALAGLNexR,1.981
ALAGLNNaEx,1.977
ALAGLYexR,1.981
ALASERNaEx,1.977
ALASm,1.442
ALAt4,3.159
ALATA_L,0.578
ALATHRNaEx,1.977
ALAtN1,NaN
ALCD21_D,2.509
ALCD21_L,2.509
ALCD22_D,2.509
ALCD22_L,2.509
ALCD2if,2.509
ALCD2yf,2.214
ALDD20x,1.989
ALDD20xm,1.074
ALDD21,1.989
ALDD2xm,1.074
ALDD2y,1.989
ALDSTRNte,NaN
ALDSTRNtm,NaN
ALOX12,NaN
ALOX15,NaN
ALOX5,NaN
ALOX52,NaN
ALR2,2.461
ALR3,2.461
AMACR2p,NaN
AMACRp,NaN
AMCOXO,NaN
AMETr,NaN
AMETt2m,0.273
AMPDA,1.314
AMPTASECGe,NaN
AMPtp,NaN
AMY1e,1.981
AMY2e,1.981
ANDRSTRNGLCte,0.725
ANDRSTRNGLCtr,NaN
ANDRSTRNte,NaN
ANDRSTRNtr,NaN
ANTIPYRENEte,NaN
AOBUTDsm,NaN
APAT2rm,NaN
APNNOXte,NaN
APOCF,NaN
APOCFm,NaN
APOC_LYS_BTNP,NaN
APOC_LYS_BTNPm,NaN
APPNNte,NaN
APRTO2,NaN
AQCOBALt,NaN
ARAB_Lt,NaN
ARABR,2.461
ARACHCOAtx,NaN
ARACHCPT1,0.626
ARACHCPT2,NaN
ARACHCRNt,NaN
ARACHDCOAtx,NaN
ARACHDt2,0.674
ARACHDtr,NaN
ARACHt,NaN
ARGDCm,NaN
ARGLYSex,1.053
ARGNm,1.158
ARGSS,NaN
ARGt4,NaN
ARGtm,NaN
ARSA,NaN
ARTCOAL1,NaN
ARTCOAL2,NaN
ARTCOAL3,NaN
R_group_phosphotase_1,NaN
R_group_phosphotase_2,NaN
R_group_phosphotase_3,NaN
ARTFR208,NaN
ARTPLM3,NaN
ARTPLM3m,NaN
ASAH1,1.93
ASCBOX,NaN
ASCBt,NaN
ASCBt4,0.81
ASNALANaEx,1.977
ASNCYSNaEx,1.977
ASNGLNNaEx,1.977
ASNNm,NaN
ASNS1,1.732
ASNSERNaEx,1.977
ASNt4,3.159
ASNTHRNaEx,1.977
ASNtm,NaN
ASNtN1,NaN
ASPCTr,1.222
ASPDt6,1.025
ASPDxt,NaN
ASPGLUm,1.206
ASPNATm,NaN
ASPt6,1.025
ASPTAm,2.022
ATP1ter,NaN
