Var1,ASP14_i10_plus_midhigh
GLNALANaEx,1.976
GLNASNNaEx,1.976
GLNCYSNaEx,1.976
GLNS,2.2585
GLNSERNaEx,1.976
GLNt4,3.135
GLNTHRNaEx,1.976
GLNtm,NaN
GLNtN1,NaN
GLU5Km,1.787
GLUCYS,0.5445
GLUDC,NaN
GLUDxm,2.0955
GLUDym,2.0955
GluForTx,NaN
GLUNm,2.1335
GLUPRT,1.6565
GLUt2m,1.2415
GLUTCOADHm,0.7605
GLUVESSEC,NaN
GLXtm,NaN
GLXtp,NaN
GLYAMDTRc,NaN
GLYATm,0.911
GLYBt4_2_r,NaN
GLYBtm,NaN
GLYC3Ptm,NaN
GLYOp,NaN
GLYt2r,NaN
GLYt4,3.135
GLYt7_211_r,NaN
GLYtm,NaN
GLYtp,NaN
GLYVESSEC,NaN
GMPS2,2.0935
GND,2.455
GNDer,2.455
GNMT,NaN
GTHO,1.304
GTHOm,1.304
GTHP,3.099
GTHPm,2.704
GTHRDt,NaN
GTHS,1.7005
GULNDer,NaN
GULNter,NaN
H2CO3D,NaN
H2O2syn,NaN
H2O2t,NaN
H2O2tm,NaN
H2O2tp,NaN
H2Ot,NaN
H2Oter,NaN
H2Otm,NaN
H2Otp,NaN
HACD1m,2.4335
HACD9m,1.9305
HCO3_CLt,0.2195
HEX1,1.6335
HGNTOR,NaN
HIBDm,1.457
HISD,NaN
HISDC,NaN
HISt4,3.135
HISTAtu,NaN
HISTAVESSEC,0.9165
HIStiDF,NaN
HIStN1,NaN
HKYNH,NaN
HMGCOASim,NaN
HMGCOAtm,NaN
HMGLm,0.955
HOMt4,1.455
Htm,1.298
Htr,NaN
Htx,NaN
ICDHxm,1.466
ICDHy,2.1955
ICDHyrm,1.195
ILEt4,NaN
ILEt5m,NaN
ILETA,3.041
ILETAm,1.451
ILEtec,NaN
IZPN,NaN
KCC2t,NaN
KYN3OX,NaN
KYNAKGAT,0.1265
KYNATESYN,NaN
LDH_L,3.225
LEUt4,2.104
LEUt5m,NaN
LEUTA,3.041
LEUTAm,1.451
LEUtec,NaN
L_LACDcm,0.707
L_LACt2r,2.4145
L_LACt4r,NaN
LYSt4,NaN
LYStiDF,1.455
LYStm,NaN
MACACI,NaN
MALSO3tm,NaN
MALSO4tm,NaN
MALtm,NaN
MALTSULtm,NaN
MCCCrm,0.5155
MDH,2.697
MDHm,2.697
ME1m,0.926
ME2,1.6
ME2m,0.926
METAT,2.3565
METLEUex,0.965
METS,1.924
METt4,3.135
METtec,NaN
MGCHrm,NaN
MGSA,NaN
MGSA2,NaN
MMEm,1.1365
MMMm,1.6505
MMSAD3m,0.3215
MMTSADm,NaN
MTHFC,2.1735
MTHFD,2.1735
MTHGXLt,NaN
NADH2_u10m,0.466
NADHtpu,NaN
NADHtru,NaN
