Var1,ASP14_i10_plus_midlow
EX_nh4_e,NaN
EX_o2_e,NaN
EX_o2s_e,NaN
EX_orn_e,NaN
EX_phe_L_e,NaN
EX_pi_e,NaN
EX_pro_L_e,NaN
EX_pyr_e,NaN
EX_ser_L_e,NaN
EX_so4_e,NaN
EX_succ_e,NaN
EX_thr_L_e,NaN
EX_trp_L_e,NaN
EX_tyr_L_e,NaN
EX_urea_e,NaN
EX_val_L_e,NaN
FALDtm,NaN
FBA,3.284
FBP,NaN
FDH,NaN
FKYNH,1.598
FORtr,NaN
FTCD,NaN
FTHFDH,NaN
FUM,1.445
FUMAC,NaN
FUMm,1.445
FUMSO3tm,NaN
FUMSO4tm,NaN
FUMtm,NaN
FUMTSULtm,NaN
G3PD1,NaN
G3PD2m,NaN
G5SADrm,NaN
G5SADs,NaN
G5SDym,1.912
G6PDA,1.697
G6PDH1rer,0.252
G6PDH2r,0.942
G6PDH2rer,0.942
G6PPer,1.536
G6Pter,NaN
GABAVESSEC,NaN
GACMTRc,0.811
GAPD,3.869
GCC2am,2.459
GCC2bim,2.459
GCC2cm,2.459
GCCam,2.459
GCCbim,2.459
GCCcm,2.459
GF6PTA,2.235
GHMT2r,0.657
GHMT2rm,2.086
GK1,1.713
GLCMter,NaN
GLCt1r,1.716
GLCt2_2,NaN
GLCt4,2.489
GLCter,NaN
GLCURter,NaN
GLNALANaEx,1.982
GLNASNNaEx,1.982
GLNCYSNaEx,1.982
GLNS,2.211
GLNSERNaEx,1.982
GLNt4,3.168
GLNTHRNaEx,1.982
GLNtm,NaN
GLNtN1,NaN
GLU5Km,1.912
GLUCYS,0.713
GLUDC,NaN
GLUDxm,2.033
GLUDym,2.033
GluForTx,NaN
GLUNm,2.23
GLUPRT,1.561
GLUt2m,1.206
GLUTCOADHm,0.307
GLUVESSEC,NaN
GLXtm,NaN
GLXtp,NaN
GLYAMDTRc,NaN
GLYATm,0.901
GLYBt4_2_r,NaN
GLYBtm,NaN
GLYC3Ptm,NaN
GLYOp,NaN
GLYt2r,NaN
GLYt4,3.168
GLYt7_211_r,NaN
GLYtm,NaN
GLYtp,NaN
GLYVESSEC,NaN
GMPS2,2.043
GND,2.501
GNDer,2.501
GNMT,NaN
GTHO,1.316
GTHOm,1.316
GTHP,3.173
GTHPm,2.696
GTHRDt,NaN
GTHS,1.468
GULNDer,NaN
GULNter,NaN
H2CO3D,0.724
H2O2syn,NaN
H2O2t,NaN
H2O2tm,NaN
H2O2tp,NaN
H2Ot,NaN
H2Oter,NaN
H2Otm,NaN
H2Otp,NaN
HACD1m,2.392
HACD9m,1.767
HCO3_CLt,NaN
HEX1,1.769
HGNTOR,NaN
HIBDm,1.396
HISD,NaN
HISDC,NaN
HISt4,3.168
HISTAtu,NaN
HISTAVESSEC,0.941
HIStiDF,NaN
HIStN1,NaN
HKYNH,NaN
HMGCOASim,NaN
HMGCOAtm,NaN
HMGLm,0.66
HOMt4,1.473
Htm,1.074
Htr,NaN
Htx,NaN
ICDHxm,1.455
ICDHy,2.272
ICDHyrm,1.205
ILEt4,NaN
ILEt5m,NaN
ILETA,3.02
ILETAm,1.222
ILEtec,NaN
IZPN,NaN
KCC2t,NaN
KYN3OX,NaN
KYNAKGAT,NaN
KYNATESYN,NaN
LDH_L,3.156
LEUt4,2.012
LEUt5m,NaN
LEUTA,3.02
LEUTAm,1.222
LEUtec,NaN
L_LACDcm,0.805
L_LACt2r,2.45
L_LACt4r,NaN
LYSt4,NaN
LYStiDF,1.473
LYStm,NaN
MACACI,NaN
MALSO3tm,NaN
MALSO4tm,NaN
MALtm,NaN
MALTSULtm,NaN
MCCCrm,0.434
MDH,2.625
MDHm,2.625
ME1m,0.636
ME2,1.707
ME2m,0.636
METAT,2.167
METLEUex,0.677
METS,1.669
METt4,3.168
METtec,NaN
MGCHrm,NaN
MGSA,NaN
MGSA2,NaN
MMEm,1.089
MMMm,1.566
MMSAD3m,0.273
MMTSADm,NaN
MTHFC,1.942
MTHFD,1.942
MTHGXLt,NaN
NADH2_u10m,0.351
NADHtpu,NaN
NADHtru,NaN
NADPHtru,NaN
NADPtru,NaN
NADtpu,NaN
NADtru,NaN
NAHCO3_HCLt,NaN
NAt,2.489
NAt3_1,0.824
NAt5,0.824
NCCt,NaN
NDPK1,1.883
NDPK1m,1.837
NDPK2,1.883
NDPK3,1.883
NDPK4,1.883
NDPK5,1.883
NDPK8,1.883
NDPK9,1.883
NH4t3r,NaN
NH4tp,NaN
NKCC2t,1.575
NRPPHRt4_2_r,NaN
NRPPHRtu,NaN
NRPPHRVESSEC,0.941
NTD7,1.492
O2St,NaN
O2Stm,NaN
O2Stx,NaN
O2t,NaN
O2ter,NaN
